NAME,DESC,VER,LINK,EMOJI,RELID,
"ScriptKitty","Cat-Themed USB Attack Platform with WiFi Control","latest","https://github.com/DevKitty-io/ScriptKitty-Firmware",,135056446,
"Wardriver","Scan & Map Wireless Devices! Compatible with WiGLE","latest","https://github.com/DevKitty-io/Wardriver-Firmware",,,
